question,answer
What is MLOps?,"MLOps is a set of practices that combines machine learning, DevOps, and data engineering to deploy and maintain ML models in production reliably and efficiently."
Why is MLOps important?,"MLOps ensures that ML models are reproducible, scalable, monitored, and continuously improved, which is critical for real-world business applications."
What are the key components of an MLOps pipeline?,"Key components include data ingestion, data validation, model training, model validation, deployment, monitoring, and CI/CD automation."
How does version control apply in MLOps?,"Version control in MLOps tracks datasets, models, and code to ensure reproducibility and collaboration across teams."
What tools are commonly used in MLOps?,"Common tools include MLflow, Kubeflow, DVC, Airflow, Docker, Kubernetes, and CI/CD platforms like Jenkins or GitHub Actions."
What is model drift in MLOps?,"Model drift occurs when the statistical properties of input data change over time, reducing model accuracy. MLOps uses monitoring to detect and retrain models."
How is monitoring handled in MLOps?,"Monitoring involves tracking metrics such as model accuracy, latency, resource usage, and detecting data or concept drift in production."
What is continuous training (CT) in MLOps?,Continuous training is the automated process of retraining models as new data becomes available to maintain model performance.
What role does CI/CD play in MLOps?,"CI/CD automates the process of testing, validating, and deploying ML models, ensuring faster and more reliable updates to production."
What are the challenges in implementing MLOps?,"Challenges include handling large-scale data, ensuring reproducibility, managing model drift, automating pipelines, and aligning data science with DevOps practices."
What is data versioning in MLOps?,"Data versioning tracks changes in datasets over time, ensuring that models can be reproduced with the exact same data used during training."
How does Docker help in MLOps?,"Docker helps package ML models and dependencies into containers, making them portable and consistent across different environments."
What is the role of Kubernetes in MLOps?,"Kubernetes orchestrates containerized ML workloads, enabling scaling, auto-healing, and efficient resource management."
What is feature store in MLOps?,"A feature store is a centralized repository for storing, managing, and serving features consistently across training and inference."
What is the difference between batch inference and real-time inference?,"Batch inference processes predictions on large datasets at scheduled times, while real-time inference generates predictions instantly for incoming requests."
How do you ensure reproducibility in MLOps?,"Reproducibility is ensured through version control of code, data, and models, along with containerization and automated pipelines."
What is model registry in MLOps?,"A model registry is a system for managing ML models, including versioning, metadata, approval stages, and deployment history."
How do you handle security in MLOps pipelines?,"Security is handled by managing access control, encrypting data, scanning containers, and monitoring for vulnerabilities in ML workflows."
What is the difference between MLOps and DevOps?,"DevOps focuses on software delivery automation, while MLOps extends these practices to the ML lifecycle, including data, models, and monitoring."
How do you test ML models in MLOps?,"Testing involves unit tests for preprocessing, integration tests for pipelines, validation on datasets, and monitoring performance in production."
